Site,LocationName,Time,Value,Quality,Approval,Qualifiers,Parameter,Unit
MK307635,Nukuhou at Glenholme Rd,20/01/2023,1.02450125,500,Approved,,Discharge,m^3/s
MK307635,Nukuhou at Glenholme Rd,20/01/2023 0:05,1.036742699,500,Approved,,Discharge,m^3/s
MK307635,Nukuhou at Glenholme Rd,20/01/2023 0:10,1.053967629,500,Approved,,Discharge,m^3/s
MK307635,Nukuhou at Glenholme Rd,20/01/2023 0:15,1.065982446,500,Approved,,Discharge,m^3/s
MK307635,Nukuhou at Glenholme Rd,20/01/2023 0:20,1.081255189,500,Approved,,Discharge,m^3/s
MK307635,Nukuhou at Glenholme Rd,20/01/2023 0:25,1.099115506,500,Approved,,Discharge,m^3/s
MK307635,Nukuhou at Glenholme Rd,20/01/2023 0:30,1.113485105,500,Approved,,Discharge,m^3/s
MK307635,Nukuhou at Glenholme Rd,20/01/2023 0:35,1.129737377,500,Approved,,Discharge,m^3/s
MK307635,Nukuhou at Glenholme Rd,20/01/2023 0:40,1.146438954,500,Approved,,Discharge,m^3/s
MK307635,Nukuhou at Glenholme Rd,20/01/2023 0:45,1.160674098,500,Approved,,Discharge,m^3/s
MK307635,Nukuhou at Glenholme Rd,20/01/2023 0:50,1.1746082,500,Approved,,Discharge,m^3/s
MK307635,Nukuhou at Glenholme Rd,20/01/2023 0:55,1.188605576,500,Approved,,Discharge,m^3/s
MK307635,Nukuhou at Glenholme Rd,20/01/2023 1:00,1.195260683,500,Approved,,Discharge,m^3/s
MK307635,Nukuhou at Glenholme Rd,20/01/2023 1:05,1.205638292,500,Approved,,Discharge,m^3/s
MK307635,Nukuhou at Glenholme Rd,20/01/2023 1:10,1.214186823,500,Approved,,Discharge,m^3/s
MK307635,Nukuhou at Glenholme Rd,20/01/2023 1:15,1.219030001,500,Approved,,Discharge,m^3/s
MK307635,Nukuhou at Glenholme Rd,20/01/2023 1:20,1.22537554,500,Approved,,Discharge,m^3/s
MK307635,Nukuhou at Glenholme Rd,20/01/2023 1:25,1.22873838,500,Approved,,Discharge,m^3/s
MK307635,Nukuhou at Glenholme Rd,20/01/2023 1:30,1.233603568,500,Approved,,Discharge,m^3/s
MK307635,Nukuhou at Glenholme Rd,20/01/2023 1:35,1.234354617,500,Approved,,Discharge,m^3/s
MK307635,Nukuhou at Glenholme Rd,20/01/2023 1:40,1.233606309,500,Approved,,Discharge,m^3/s
MK307635,Nukuhou at Glenholme Rd,20/01/2023 1:45,1.233607679,500,Approved,,Discharge,m^3/s
MK307635,Nukuhou at Glenholme Rd,20/01/2023 1:50,1.23360905,500,Approved,,Discharge,m^3/s
MK307635,Nukuhou at Glenholme Rd,20/01/2023 1:55,1.228746591,500,Approved,,Discharge,m^3/s
MK307635,Nukuhou at Glenholme Rd,20/01/2023 2:00,1.228747959,500,Approved,,Discharge,m^3/s
MK307635,Nukuhou at Glenholme Rd,20/01/2023 2:05,1.22389282,500,Approved,,Discharge,m^3/s
MK307635,Nukuhou at Glenholme Rd,20/01/2023 2:10,1.219045008,500,Approved,,Discharge,m^3/s
MK307635,Nukuhou at Glenholme Rd,20/01/2023 2:15,1.216808529,500,Approved,,Discharge,m^3/s
MK307635,Nukuhou at Glenholme Rd,20/01/2023 2:20,1.212716086,500,Approved,,Discharge,m^3/s
MK307635,Nukuhou at Glenholme Rd,20/01/2023 2:25,1.204917041,500,Approved,,Discharge,m^3/s
MK307635,Nukuhou at Glenholme Rd,20/01/2023 2:30,1.200098045,500,Approved,,Discharge,m^3/s
MK307635,Nukuhou at Glenholme Rd,20/01/2023 2:35,1.197874884,500,Approved,,Discharge,m^3/s
MK307635,Nukuhou at Glenholme Rd,20/01/2023 2:40,1.190482147,500,Approved,,Discharge,m^3/s
MK307635,Nukuhou at Glenholme Rd,20/01/2023 2:45,1.183470968,500,Approved,,Discharge,m^3/s
MK307635,Nukuhou at Glenholme Rd,20/01/2023 2:50,1.182001787,500,Approved,,Discharge,m^3/s
MK307635,Nukuhou at Glenholme Rd,20/01/2023 2:55,1.175745624,500,Approved,,Discharge,m^3/s
MK307635,Nukuhou at Glenholme Rd,20/01/2023 3:00,1.170236712,500,Approved,,Discharge,m^3/s
MK307635,Nukuhou at Glenholme Rd,20/01/2023 3:05,1.16620474,500,Approved,,Discharge,m^3/s
MK307635,Nukuhou at Glenholme Rd,20/01/2023 3:10,1.161445413,500,Approved,,Discharge,m^3/s
MK307635,Nukuhou at Glenholme Rd,20/01/2023 3:15,1.155962168,500,Approved,,Discharge,m^3/s
MK307635,Nukuhou at Glenholme Rd,20/01/2023 3:20,1.150488815,500,Approved,,Discharge,m^3/s
